iter	Passed	Remaining
0	211	211056
1	268	134186
2	329	109365
3	394	98217
4	451	89934
5	493	81816
6	531	75407
7	569	70571
8	607	66930
9	644	63781
10	680	61201
11	716	58973
12	752	57126
13	787	55480
14	822	54023
15	856	52659
16	888	51347
17	922	50304
18	960	49578
19	1010	49502
20	1043	48668
21	1077	47902
22	1111	47196
23	1146	46624
24	1176	45878
25	1203	45070
26	1230	44330
27	1257	43639
28	1286	43059
29	1313	42455
30	1339	41869
31	1366	41350
32	1394	40857
33	1422	40420
34	1449	39973
35	1477	39566
36	1504	39163
37	1532	38786
38	1558	38412
39	1586	38080
40	1614	37757
41	1641	37446
42	1669	37149
43	1697	36884
44	1725	36612
45	1752	36351
46	1779	36088
47	1807	35846
48	1834	35601
49	1862	35384
50	1889	35163
51	1916	34943
52	1943	34727
53	1969	34510
54	1998	34333
55	2026	34164
56	2055	34003
57	2082	33822
58	2110	33663
59	2138	33496
60	2165	33331
61	2193	33178
62	2220	33018
63	2248	32879
64	2277	32755
65	2305	32629
66	2332	32486
67	2359	32339
68	2386	32204
69	2413	32061
70	2441	31945
71	2468	31814
72	2495	31693
73	2522	31564
74	2550	31452
75	2577	31332
76	2604	31217
77	2631	31108
78	2659	31003
79	2686	30898
80	2714	30799
81	2742	30699
82	2769	30594
83	2796	30494
84	2822	30381
85	2850	30292
86	2876	30190
87	2903	30085
88	2929	29991
89	2956	29892
90	2984	29807
91	3011	29718
92	3038	29633
93	3066	29553
94	3093	29469
95	3121	29397
96	3147	29302
97	3175	29230
98	3194	29068
99	3220	28982
100	3248	28911
101	3274	28831
102	3301	28748
103	3328	28673
104	3354	28592
105	3382	28525
106	3410	28466
107	3438	28401
108	3465	28329
109	3493	28263
110	3520	28198
111	3547	28129
112	3575	28067
113	3602	28000
114	3630	27937
115	3657	27874
116	3686	27818
117	3712	27748
118	3739	27682
119	3757	27557
120	3785	27499
121	3812	27437
122	3839	27374
123	3867	27320
124	3894	27263
125	3921	27204
126	3949	27148
127	3978	27101
128	4009	27068
129	4039	27032
130	4086	27110
131	4117	27075
132	4147	27034
133	4177	26998
134	4208	26968
135	4238	26928
136	4269	26897
137	4300	26865
138	4332	26834
139	4362	26796
140	4389	26743
141	4415	26681
142	4442	26622
143	4469	26570
144	4497	26520
145	4524	26464
146	4551	26413
147	4583	26384
148	4613	26352
149	4645	26321
150	4676	26291
151	4706	26255
152	4736	26221
153	4766	26184
154	4780	26063
155	4811	26033
156	4839	25983
157	4865	25930
158	4892	25875
159	4919	25826
160	4946	25778
161	4975	25739
162	5005	25704
163	5036	25675
164	5066	25639
165	5097	25609
166	5127	25574
167	5156	25535
168	5183	25487
169	5210	25440
170	5237	25391
171	5263	25340
172	5290	25290
173	5319	25251
174	5346	25203
175	5374	25162
176	5405	25133
177	5435	25102
178	5467	25075
179	5498	25048
180	5526	25008
181	5553	24960
182	5579	24910
183	5606	24863
184	5632	24812
185	5659	24766
186	5685	24719
187	5712	24674
